	#WrongCluster	Silhouette	DaviesBouldin	#WrongCluster_	Silhouette_	DaviesBouldin_
0	15	0.47193373191268845	0.7533139698796432	5	0.435103671848208	0.8215989423874764
1	15	0.47193373191268845	0.7533139698796432	0	0.435103671848208	0.8215989423874764
2	15	0.47193373191268845	0.7533139698796432	2	0.435103671848208	0.8215989423874764
3	19	0.47193373191268845	0.7533139698796432	8	0.4251649659950648	0.827675285054723
4	15	0.47193373191268845	0.7533139698796432	2	0.435103671848208	0.8215989423874764
5	15	0.47193373191268845	0.7533139698796432	3	0.435103671848208	0.8215989423874764
6	15	0.47193373191268845	0.7533139698796432	2	0.435103671848208	0.8215989423874764
7	14	0.47193373191268845	0.7533139698796432	4	0.4361934060977571	0.8202231022137813
8	18	0.47193373191268845	0.7533139698796432	0	0.43325894835440504	0.8301024355293177
9	15	0.47193373191268845	0.7533139698796432	2	0.435103671848208	0.8215989423874764
