	#WrongCluster	Silhouette	DaviesBouldin	#WrongCluster_	Silhouette_	DaviesBouldin_
0	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170802
1	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170807
2	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170802
3	10	0.5525919445499757	0.6623228649898758	1	0.5227828238336425	0.7087298896368287
4	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170807
5	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170802
6	3	0.5525919445499757	0.6623228649898758	8	0.5436516333862944	0.6743452303872202
7	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170802
8	11	0.5525919445499757	0.6623228649898758	0	0.5216015600022972	0.7141873398170802
9	3	0.5525919445499757	0.6623228649898758	6	0.5436516333862945	0.6743452303872207
