	#WrongCluster	Silhouette	DaviesBouldin	#WrongCluster_	Silhouette_	DaviesBouldin_
0	30	0.4648016266877666	0.8499294569043018	13	0.4024423577764052	1.103134667635882
1	16	0.4648016266877666	0.8499294569043018	43	0.4354221433643617	1.0484072465988765
2	30	0.4648016266877666	0.8499294569043018	4	0.4024423577764052	1.103134667635882
3	17	0.4648016266877666	0.8499294569043018	35	0.4396155908010255	1.0474725256306852
4	30	0.4648016266877666	0.8499294569043018	17	0.4024423577764052	1.103134667635882
5	17	0.4648016266877666	0.8499294569043018	26	0.41101496886912614	1.0889591603760298
6	30	0.4648016266877666	0.8499294569043018	13	0.4024423577764052	1.103134667635882
7	20	0.4648016266877666	0.8499294569043018	80	0.39598432111250886	1.0773764808207915
8	14	0.4648016266877666	0.8499294569043018	48	0.4295499316815785	0.9843198141050172
9	17	0.4648016266877666	0.8499294569043018	34	0.4396155908010255	1.0474725256306852
